"","gene_id","gene_type"
"1","ENSMUSG00000051951","protein_coding"
"2","ENSMUSG00000025900","protein_coding"
"3","ENSMUSG00000025902","protein_coding"
"4","ENSMUSG00000033845","protein_coding"
"5","ENSMUSG00000025903","protein_coding"
"6","ENSMUSG00000104217","protein_coding"
"7","ENSMUSG00000033813","protein_coding"
"8","ENSMUSG00000002459","protein_coding"
"9","ENSMUSG00000033793","protein_coding"
"10","ENSMUSG00000025905","protein_coding"
"11","ENSMUSG00000033774","protein_coding"
"12","ENSMUSG00000025907","protein_coding"
"13","ENSMUSG00000087247","protein_coding"
"14","ENSMUSG00000033740","protein_coding"
"15","ENSMUSG00000051285","protein_coding"
"16","ENSMUSG00000025909","protein_coding"
"17","ENSMUSG00000061024","protein_coding"
"18","ENSMUSG00000025911","protein_coding"
"19","ENSMUSG00000067879","protein_coding"
"20","ENSMUSG00000025912","protein_coding"
"21","ENSMUSG00000045210","protein_coding"
"22","ENSMUSG00000025915","protein_coding"
"23","ENSMUSG00000046101","protein_coding"
"24","ENSMUSG00000099032","protein_coding"
"25","ENSMUSG00000025916","protein_coding"
"26","ENSMUSG00000025917","protein_coding"
"27","ENSMUSG00000056763","protein_coding"
"28","ENSMUSG00000067851","protein_coding"
"29","ENSMUSG00000042501","protein_coding"
"30","ENSMUSG00000048960","protein_coding"
"31","ENSMUSG00000057715","protein_coding"
"32","ENSMUSG00000016918","protein_coding"
"33","ENSMUSG00000025938","protein_coding"
"34","ENSMUSG00000042414","protein_coding"
"35","ENSMUSG00000005886","protein_coding"
"36","ENSMUSG00000025935","protein_coding"
"37","ENSMUSG00000025937","protein_coding"
"38","ENSMUSG00000067813","protein_coding"
"39","ENSMUSG00000025932","protein_coding"
"40","ENSMUSG00000025930","protein_coding"
"41","ENSMUSG00000032769","protein_coding"
"42","ENSMUSG00000092083","protein_coding"
"43","ENSMUSG00000025925","protein_coding"
"44","ENSMUSG00000032719","protein_coding"
"45","ENSMUSG00000067795","protein_coding"
"46","ENSMUSG00000043716","protein_coding"
